,file,target
0,test_images/000487-num9.png,9
1,test_images/005627-num9.png,9
2,test_images/006278-num1.png,1
3,test_images/005019-num3.png,3
4,test_images/007137-num4.png,4
5,test_images/005256-num4.png,4
6,test_images/001429-num9.png,9
7,test_images/008261-num1.png,1
8,test_images/003695-num0.png,0
9,test_images/001059-num4.png,4
10,test_images/003177-num3.png,3
11,test_images/002474-num7.png,7
12,test_images/001428-num9.png,9
13,test_images/008796-num9.png,9
14,test_images/009106-num3.png,3
15,test_images/001473-num5.png,5
16,test_images/002801-num6.png,6
17,test_images/007631-num6.png,6
18,test_images/008985-num8.png,8
19,test_images/005736-num6.png,6
20,test_images/008701-num3.png,3
21,test_images/007618-num1.png,1
22,test_images/006126-num9.png,9
23,test_images/000677-num3.png,3
24,test_images/005698-num4.png,4
25,test_images/004798-num6.png,6
26,test_images/002770-num3.png,3
27,test_images/002114-num5.png,5
28,test_images/008687-num6.png,6
29,test_images/000194-num0.png,0
30,test_images/003387-num9.png,9
31,test_images/008358-num9.png,9
32,test_images/006265-num4.png,4
33,test_images/005910-num5.png,5
34,test_images/000720-num5.png,5
35,test_images/009519-num0.png,0
36,test_images/004997-num2.png,2
37,test_images/000851-num0.png,0
38,test_images/008889-num2.png,2
39,test_images/008656-num5.png,5
40,test_images/000323-num3.png,3
41,test_images/008032-num3.png,3
42,test_images/004811-num7.png,7
43,test_images/001198-num8.png,8
44,test_images/008254-num3.png,3
45,test_images/005263-num6.png,6
46,test_images/006586-num7.png,7
47,test_images/004749-num5.png,5
48,test_images/004506-num2.png,2
49,test_images/005649-num7.png,7
50,test_images/003143-num1.png,1
51,test_images/004973-num3.png,3
52,test_images/005167-num2.png,2
53,test_images/006806-num8.png,8
54,test_images/005373-num9.png,9
55,test_images/008179-num0.png,0
56,test_images/004228-num7.png,7
57,test_images/004785-num3.png,3
58,test_images/006149-num7.png,7
59,test_images/005873-num1.png,1
60,test_images/003935-num6.png,6
61,test_images/004464-num6.png,6
62,test_images/000026-num7.png,7
63,test_images/005564-num4.png,4
64,test_images/001340-num5.png,5
65,test_images/002835-num4.png,4
66,test_images/000269-num0.png,0
67,test_images/006875-num3.png,3
68,test_images/007783-num1.png,1
69,test_images/005872-num1.png,1
70,test_images/001742-num3.png,3
71,test_images/008151-num7.png,7
72,test_images/001556-num8.png,8
73,test_images/009399-num7.png,7
74,test_images/005287-num7.png,7
75,test_images/009420-num8.png,8
76,test_images/008299-num5.png,5
77,test_images/005982-num5.png,5
78,test_images/002331-num6.png,6
79,test_images/007673-num5.png,5
80,test_images/000050-num6.png,6
81,test_images/000398-num4.png,4
82,test_images/003426-num9.png,9
83,test_images/005163-num8.png,8
84,test_images/004905-num2.png,2
85,test_images/006870-num9.png,9
86,test_images/002156-num6.png,6
87,test_images/007414-num5.png,5
88,test_images/007672-num5.png,5
89,test_images/004197-num4.png,4
90,test_images/002733-num0.png,0
91,test_images/004594-num2.png,2
92,test_images/007593-num0.png,0
93,test_images/000399-num4.png,4
94,test_images/008341-num6.png,6
95,test_images/004010-num1.png,1
96,test_images/006404-num8.png,8
97,test_images/005458-num6.png,6
98,test_images/001955-num8.png,8
99,test_images/004558-num4.png,4
100,test_images/009720-num6.png,6
101,test_images/006948-num1.png,1
102,test_images/004129-num9.png,9
103,test_images/002253-num2.png,2
104,test_images/005392-num2.png,2
105,test_images/001926-num3.png,3
106,test_images/000826-num1.png,1
107,test_images/007081-num9.png,9
108,test_images/007696-num4.png,4
109,test_images/000757-num4.png,4
110,test_images/007849-num3.png,3
111,test_images/006249-num9.png,9
112,test_images/002436-num4.png,4
113,test_images/008250-num9.png,9
114,test_images/004315-num5.png,5
115,test_images/003779-num1.png,1
116,test_images/000673-num9.png,9
117,test_images/000385-num1.png,1
118,test_images/000467-num2.png,2
119,test_images/005488-num5.png,5
120,test_images/006336-num8.png,8
121,test_images/006150-num8.png,8
122,test_images/004231-num8.png,8
123,test_images/008705-num9.png,9
124,test_images/003063-num6.png,6
125,test_images/007898-num0.png,0
126,test_images/007647-num7.png,7
127,test_images/009677-num0.png,0
128,test_images/002283-num1.png,1
129,test_images/001284-num3.png,3
130,test_images/000414-num9.png,9
131,test_images/007023-num1.png,1
132,test_images/004230-num8.png,8
133,test_images/008497-num7.png,7
134,test_images/002983-num9.png,9
135,test_images/003197-num8.png,8
136,test_images/004242-num3.png,3
137,test_images/001700-num0.png,0
138,test_images/009907-num5.png,5
139,test_images/000065-num4.png,4
140,test_images/004668-num2.png,2
141,test_images/006746-num5.png,5
142,test_images/008539-num5.png,5
143,test_images/002914-num3.png,3
144,test_images/005623-num3.png,3
145,test_images/003559-num8.png,8
146,test_images/009159-num5.png,5
147,test_images/003367-num2.png,2
148,test_images/007543-num3.png,3
149,test_images/003815-num1.png,1
150,test_images/001582-num1.png,1
151,test_images/005650-num8.png,8
152,test_images/002028-num7.png,7
153,test_images/007893-num3.png,3
154,test_images/005504-num3.png,3
155,test_images/005710-num8.png,8
156,test_images/004180-num2.png,2
157,test_images/000445-num6.png,6
158,test_images/004948-num8.png,8
159,test_images/007914-num6.png,6
160,test_images/002542-num6.png,6
161,test_images/006366-num7.png,7
162,test_images/004007-num7.png,7
163,test_images/006129-num0.png,0
164,test_images/000623-num6.png,6
165,test_images/002326-num0.png,0
166,test_images/006502-num1.png,1
167,test_images/004912-num4.png,4
168,test_images/007585-num6.png,6
169,test_images/008857-num8.png,8
170,test_images/008450-num2.png,2
171,test_images/001931-num5.png,5
172,test_images/002022-num4.png,4
173,test_images/008422-num9.png,9
174,test_images/003344-num6.png,6
175,test_images/004285-num6.png,6
176,test_images/007495-num9.png,9
177,test_images/004164-num3.png,3
178,test_images/008235-num4.png,4
179,test_images/008798-num0.png,0
180,test_images/006781-num0.png,0
181,test_images/004116-num8.png,8
182,test_images/003837-num5.png,5
183,test_images/005600-num7.png,7
184,test_images/007283-num4.png,4
185,test_images/005466-num7.png,7
186,test_images/008009-num8.png,8
187,test_images/009334-num6.png,6
188,test_images/004117-num8.png,8
189,test_images/007876-num2.png,2
190,test_images/000733-num9.png,9
191,test_images/006204-num3.png,3
192,test_images/004371-num8.png,8
193,test_images/000741-num2.png,2
194,test_images/005203-num1.png,1
195,test_images/009004-num0.png,0
196,test_images/006809-num1.png,1
197,test_images/004255-num5.png,5
198,test_images/003639-num1.png,1
199,test_images/000072-num2.png,2
200,test_images/003583-num8.png,8
201,test_images/000790-num1.png,1
202,test_images/001690-num3.png,3
203,test_images/002361-num9.png,9
204,test_images/004430-num3.png,3
205,test_images/005989-num6.png,6
206,test_images/004254-num5.png,5
207,test_images/003638-num1.png,1
208,test_images/004926-num6.png,6
209,test_images/009581-num3.png,3
210,test_images/009649-num1.png,1
211,test_images/000967-num1.png,1
212,test_images/004657-num3.png,3
213,test_images/006218-num6.png,6
214,test_images/007157-num3.png,3
215,test_images/006231-num1.png,1
216,test_images/003773-num2.png,2
217,test_images/001412-num2.png,2
218,test_images/008928-num9.png,9
219,test_images/003370-num4.png,4
220,test_images/001595-num7.png,7
221,test_images/007769-num9.png,9
222,test_images/007732-num5.png,5
223,test_images/003772-num2.png,2
224,test_images/009684-num7.png,7
225,test_images/005237-num3.png,3
226,test_images/008200-num6.png,6
227,test_images/004337-num1.png,1
228,test_images/008229-num1.png,1
229,test_images/003514-num2.png,2
230,test_images/009703-num2.png,2
231,test_images/002958-num9.png,9
232,test_images/009517-num9.png,9
233,test_images/002903-num5.png,5
234,test_images/002258-num1.png,1
235,test_images/005399-num1.png,1
236,test_images/001010-num4.png,4
237,test_images/000301-num7.png,7
238,test_images/007108-num5.png,5
239,test_images/000092-num9.png,9
240,test_images/008383-num9.png,9
241,test_images/003683-num6.png,6
242,test_images/009494-num6.png,6
243,test_images/005233-num9.png,9
244,test_images/004833-num3.png,3
245,test_images/005933-num1.png,1
246,test_images/007120-num2.png,2
247,test_images/003003-num1.png,1
248,test_images/002817-num0.png,0
249,test_images/006541-num2.png,2
250,test_images/005709-num7.png,7
251,test_images/008571-num5.png,5
252,test_images/003400-num7.png,7
253,test_images/000897-num5.png,5
254,test_images/007789-num2.png,2
255,test_images/005145-num6.png,6
256,test_images/004223-num4.png,4
257,test_images/001507-num7.png,7
258,test_images/007042-num6.png,6
259,test_images/006856-num7.png,7
260,test_images/001748-num0.png,0
261,test_images/002364-num3.png,3
262,test_images/009459-num0.png,0
263,test_images/001695-num9.png,9
264,test_images/001811-num2.png,2
265,test_images/005721-num0.png,0
266,test_images/003264-num1.png,1
267,test_images/007440-num0.png,0
268,test_images/000581-num0.png,0
269,test_images/003667-num7.png,7
270,test_images/008691-num0.png,0
271,test_images/006143-num4.png,4
272,test_images/005879-num2.png,2
273,test_images/000406-num5.png,5
274,test_images/004806-num1.png,1
275,test_images/002425-num8.png,8
276,test_images/006901-num1.png,1
277,test_images/005596-num3.png,3
278,test_images/005411-num6.png,6
279,test_images/000153-num5.png,5
280,test_images/001798-num3.png,3
281,test_images/000108-num9.png,9
282,test_images/007872-num8.png,8
283,test_images/004113-num2.png,2
284,test_images/001478-num6.png,6
285,test_images/006014-num2.png,2
286,test_images/007800-num3.png,3
287,test_images/006200-num9.png,9
288,test_images/006417-num4.png,4
289,test_images/000152-num5.png,5
290,test_images/003333-num7.png,7
291,test_images/005194-num5.png,5
292,test_images/003841-num4.png,4
293,test_images/005158-num3.png,3
294,test_images/007076-num4.png,4
295,test_images/009952-num0.png,0
296,test_images/001755-num5.png,5
297,test_images/003278-num4.png,4
298,test_images/004614-num0.png,0
299,test_images/000924-num2.png,2
300,test_images/002137-num1.png,1
301,test_images/001324-num8.png,8
302,test_images/006338-num1.png,1
303,test_images/009208-num4.png,4
304,test_images/004473-num0.png,0
305,test_images/002136-num1.png,1
306,test_images/001325-num8.png,8
307,test_images/005291-num1.png,1
308,test_images/000031-num1.png,1
309,test_images/007077-num5.png,5
310,test_images/002098-num2.png,2
311,test_images/002535-num6.png,6
312,test_images/003653-num4.png,4
